day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
453,1.2316251853041535,2316.2518530415355,145818850.10136518,burn,-8049777.616008404,False
454,1.2125859766112566,2125.8597661125655,138218916.16972563,burn,-7600932.93163955,False
455,1.2887215900069633,2887.215900069633,130909901.50878373,burn,-7310013.660941905,False
456,1.2310766027595554,2310.7660275955545,124062903.28026216,burn,-6847997.228521564,False
457,1.3201436336664756,3201.436336664756,117463577.6296555,burn,-6600324.650606664,False
458,1.3331176605104003,3331.1766051040026,111200105.826421,burn,-6264470.803234501,False
459,1.3509181317941155,3509.1813179411547,105250878.20118079,burn,-5950226.625240206,False
460,1.4110090504146215,4110.090504146216,99556742.65607402,burn,-5695134.545106763,False
461,1.4168142230932137,4168.142230932137,94164937.8598315,burn,-5392803.796242526,False
462,1.492293610584178,4922.93610584178,88994121.99434541,burn,-5171814.865486087,False
463,1.453696298138489,4536.9629813848915,84141651.85757895,burn,-4853469.136766466,False
464,1.5561344559679258,5561.344559679258,79467627.54689942,burn,-4675023.3106795205,False
465,1.5214713647793094,5214.713647793094,75080844.2476279,burn,-4387782.299271526,False
466,1.632035507976776,6320.355079767761,70853263.43991275,burn,-4228579.807715142,False
467,1.5977475177025668,5977.475177025668,66888075.64449377,burn,-3966186.7954189763,False
468,1.5752364847358837,5752.364847358837,63159906.24722422,burn,-3729168.397269554,False
469,1.4961485261559575,4961.485261559575,59689542.99089592,burn,-3471362.2563282987,False
470,1.4387115663851238,4387.1156638512375,56444199.91232764,burn,-3246342.0785682774,False
471,1.4362164889520173,4362.164889520172,53376770.00963664,burn,-3068428.9026909955,False
472,1.4530356419932393,4530.356419932393,50467114.7164664,burn,-2910654.2931702444,False
473,1.5245484184031768,5245.484184031768,47680033.52858414,burn,-2788080.1878822614,False
474,1.5082366007021806,5082.366007021806,45054703.47053559,burn,-2626329.058048543,False
475,1.4235700784354504,4235.700784354503,42612129.0541798,burn,-2443573.416355787,False
476,1.4507894320539358,4507.894320539359,40290430.626921386,burn,-2322697.4272584175,False
477,1.4628637872848131,4628.637872848131,38090418.28246219,burn,-2201011.344459198,False
478,1.498883243340821,4988.83243340821,35996869.65420944,burn,-2094547.6282527419,False
479,1.4510883545406843,4510.883545406843,34035647.48448964,burn,-1962221.1697198006,False
480,1.4125621796556993,4125.621796556993,32194445.90114322,burn,-1842200.583346423,False
481,1.3675447321640704,3675.4473216407036,30467393.616126996,burn,-1728051.2850162245,False
482,1.4488463968426766,4488.463968426766,28808271.136862785,burn,-1660121.4792642116,False
483,1.5517510199126674,5517.510199126674,27209906.6502028,burn,-1599363.4866599864,False
484,1.5074682127408112,5074.682127408112,25712328.690726433,burn,-1498576.9594763673,False
485,1.465845278460985,4658.45278460985,24307931.587001994,burn,-1405396.10372444,False
486,1.512234284293217,5122.34284293217,22969020.44826073,burn,-1339910.1387412644,False
487,1.6292438053218867,6292.438053218867,21677037.287533894,burn,-1292982.1607268346,False
488,1.7755399340222249,7755.399340222249,20426070.342479486,burn,-1251965.9450544082,False
489,1.721138394468614,7211.38394468614,19258465.589634724,burn,-1168603.7528447607,False
490,1.6877739924485542,6877.739924485542,18164086.592482828,burn,-1095377.997151898,False
491,1.7118978010388861,7118.978010388862,17127571.529828,burn,-1037514.0626548259,False
492,1.7405255932049517,7405.2559320495175,16145357.90266374,burn,-983212.6271642614,False
493,1.725126534299949,7251.265342999491,15222014.733320644,burn,-924342.1693430955,False
494,1.6562683463593582,6562.683463593582,14362015.73228167,burn,-860998.0010389735,False
495,1.6535249885302794,6535.249885302794,13551054.584000476,burn,-811960.1482811943,False
496,1.801892302064788,8018.923020647879,12765835.991242755,burn,-786217.5927577213,False
497,1.7552583113050362,7552.583113050362,12032128.154349187,burn,-734706.8368935684,False
498,1.7748985944092417,7748.9859440924165,11338283.954686157,burn,-694843.1996630299,False
499,1.999151034951753,9991.51034951753,10659082.175472835,burn,-680200.7792133231,False
500,1.9460866921113915,9460.866921113915,10026282.908735827,burn,-633798.2667370078,False
501,2.01243768978268,10124.376897826802,9424457.896246754,burn,-602824.012489072,False
502,2.1982568609981286,11982.568609981285,8841304.78808076,burn,-584152.1081659943,False
503,2.2631774127006814,12631.774127006815,8288557.183605662,burn,-553746.6044750981,False
504,2.3886370577484617,13886.370577484617,7760030.347821158,burn,-529525.8357845035,False
505,2.486628764909977,14866.287649099771,7257664.987113647,burn,-503364.36070751096,False
506,2.5496988747821394,15496.988747821395,6783308.785117207,burn,-475355.20199643984,False
507,2.7259033359930593,17259.033359930592,6328068.993248299,burn,-456238.7918689085,False
508,2.814319358326674,18143.19358326674,5897853.162833112,burn,-431214.8304151867,False
509,2.790803175898568,17908.031758985682,5498340.562941607,burn,-400511.59989150515,False
510,2.811275627000863,18112.75627000863,5124832.432288463,burn,-374507.13065314374,False
511,2.86309774137887,18630.9774137887,4774109.173378622,burn,-351722.25890984136,False
512,2.8067893681203144,18067.893681203146,4450144.61774263,burn,-324963.55563599267,False
513,2.8336081097391124,18336.081097391125,4147038.1742494507,burn,-304105.443493179,False
514,2.84018725871129,18401.8725871129,3864371.9974405463,burn,-283665.1768089042,False
515,2.931852056060119,19318.520560601188,3597498.4476821525,burn,-267872.549758394,False
516,3.248969196475363,22489.691964753627,3337715.893365994,burn,-260781.5543161586,False
517,3.2894811917993527,22894.811917993527,3095412.721083382,burn,-243302.1722826119,False
518,3.548931336535561,25489.313365355607,2862741.1401864104,burn,-233670.58089697154,False
519,3.6568004851707423,26568.004851707425,2644545.762675435,burn,-219194.37751097552,False
520,3.690920101775515,26909.20101775515,2442154.8610131773,burn,-203389.90166225765,False
521,3.6085325616728725,26085.325616728725,2257341.713206513,burn,-185812.1478066645,False
522,3.6435515646362924,26435.515646362925,2085799.6353675288,burn,-172541.0778389841,False
523,3.6677756578506435,26677.756578506436,1926864.1986552798,burn,-159934.43671224886,False
524,3.539381353721221,25393.81353721221,1782589.5585503338,burn,-145273.64010494598,False
525,3.440469475500197,24404.694755001972,1650955.5265729425,burn,-132633.0319773913,False
526,3.505358772597981,25053.58772597981,1528044.391127609,burn,-123910.13544533352,False
527,3.779744942077458,27797.449420774577,1410165.4348961604,burn,-118877.95623144845,False
528,3.767318981240913,27673.189812409128,1301632.3874045725,burn,-109532.04749158793,False
529,3.4945624686339722,24945.62468633972,1205079.735018565,burn,-97551.65238600744,False
530,3.1103692300433043,21103.692300433042,1120393.1163423175,burn,-85685.61867624744,False
531,2.951548673487614,19515.48673487614,1043507.4435253766,burn,-77884.67281694092,False
532,3.0560861001067545,20560.861001067544,970875.6598492032,burn,-73630.78367617345,False
533,2.8604500762725715,18604.500762725715,905268.2199025668,burn,-66606.43994663648,False
534,2.9852311078337466,19852.311078337465,843032.1425965999,burn,-63235.07730596691,False
535,3.0822811469733633,20822.81146973363,784325.2360985553,burn,-59705.9064980446,False
536,3.0669967522152635,20669.967522152634,729895.9971366656,burn,-55428.238961889605,False
537,2.833057714982823,18330.57714982823,681020.7823929678,burn,-49874.21474369774,False
538,2.7350469402110265,17350.469402110266,636152.713026209,burn,-45867.06936675878,False
539,2.7020573431156003,17020.573431156005,594516.3934094069,burn,-42635.31961680215,False
540,2.749621036582347,17496.210365823466,555387.7898539149,burn,-40127.603555491994,False
541,2.5775580801390365,15775.580801390366,519855.8354062731,burn,-36530.954447641794,False
542,2.763627436191425,17636.27436191425,485693.72349409224,burn,-35161.11191218082,False
543,2.8109856947078065,18109.856947078064,453612.1934668159,burn,-33080.53002727631,False
544,2.875182032960458,18751.82032960458,423424.52944226755,burn,-31186.66402454836,False
545,2.967579279527754,19675.79279527754,394921.0896644102,burn,-29502.439777857326,False
546,3.164797554915398,21647.97554915398,367624.7930882893,burn,-28295.296576120913,False
547,3.1958950407834146,21958.950407834145,342169.89883375884,burn,-26453.894254530504,False
548,3.309190120422111,23091.90120422111,318159.0503931434,burn,-25009.848440615435,False
549,3.1972745842469057,21972.745842469056,296259.26992171636,burn,-22898.780471427013,False
550,3.485179637941324,24851.796379413237,275082.73137402243,burn,-22175.53854769394,False
551,3.507502982860197,25075.029828601968,255429.8871107844,burn,-20651.84426323804,False
552,3.388063446856446,23880.634468564458,237557.56498880585,burn,-18871.32212197855,False
553,3.3124785578230505,23124.785578230505,221185.21898651286,burn,-17371.346002292987,False
554,2.9995254000535323,19995.254000535322,206702.30340238786,burn,-15481.915584124998,False
555,2.931690185393916,19316.901853939158,193373.3401244614,burn,-14327.963277926472,False
556,2.5763870237710496,15763.870237710496,181655.36087708367,burn,-12716.979247377734,False
557,2.677613290372311,16776.13290372311,170524.11835648175,burn,-12130.242520601923,False
558,2.734573831468552,17345.73831468552,160039.04570530367,burn,-11484.072651178081,False
559,2.602360448635775,16023.604486357752,150471.69104928256,burn,-10566.354656021102,False
560,2.596152341327042,15961.523413270423,141545.34907710092,burn,-9925.341972181644,False
561,2.595684704312307,15956.84704312307,133208.4641383571,burn,-9335.884938743808,False
562,2.4453472290246787,14453.472290246787,125621.71608618918,burn,-8585.748052167932,False
563,2.418330522515274,14183.305225152739,118557.89913972182,burn,-8062.816946467359,False
564,2.4215814647684692,14215.814647684692,111943.60706354654,burn,-7613.292076175273,False
565,2.391653456367376,13916.534563673762,105787.55963348705,burn,-7155.047430059488,False
566,2.3100999571717744,13100.999571717744,100111.25887836132,burn,-6675.300755125732,False
567,2.1944078400737426,11944.078400737426,94908.95920960358,burn,-6201.299668757734,False
568,2.1635654057459446,11635.654057459446,90058.18343280692,burn,-5849.775776796656,False
569,2.101776250606796,11017.762506067958,85562.034584376,burn,-5495.1488484309175,False
570,2.1619482951748337,11619.482951748336,81288.74625298714,burn,-5272.288331388859,False
571,2.3132150001983707,13132.150001983708,77155.81293107037,burn,-5131.933321916776,False
572,2.4201588254484947,14201.588254484946,73201.28719782972,burn,-4953.525733240645,False
573,2.427374573749848,14273.74573749848,69495.36627681881,burn,-4704.92092101091,False
574,2.3488566794985397,13488.566794985398,66082.20507301102,burn,-4412.161203807787,False
575,2.4539907082137367,14539.907082137366,62816.26569781614,burn,-4264.939375194878,False
576,2.531925993186083,15319.25993186083,59712.153710751656,burn,-4103.111987064485,False
577,2.6987032070885153,16987.032070885154,56711.21375510791,burn,-3999.9399556437456,False
578,2.7253663414336553,17253.66341433655,53896.17687340338,burn,-3814.0368817045205,False
579,2.9619232073883417,19619.232073883417,51142.966427758845,burn,-3752.2104456445386,False
580,2.9912330345148628,19912.330345148628,48566.44246403052,burn,-3575.523963728322,False
581,2.8938058819304,18938.058819304,46217.366196800846,burn,-3348.0762672296796,False
582,2.82379229829194,18237.9229829194,44062.589121790166,burn,-3153.777075010679,False
583,2.8976112395113574,18976.112395113574,42022.32302210586,burn,-3039.2660996843074,False
584,2.8144932605353503,18144.932605353504,40157.714651844064,burn,-2863.6083702617993,False
585,3.0576011910119663,20576.01191011966,38322.54330429233,burn,-2834.1713475517336,False
586,3.124306379615068,21243.06379615068,36591.32790683389,burn,-2730.2153974584458,False
587,3.1302431050794914,21302.431050794916,34981.27727169984,burn,-2609.0506351340514,False
588,3.14902946672216,21490.294667221602,33479.45545171024,burn,-2500.8218199896032,False
589,3.1085051517027082,21085.05151702708,32098.566636163403,burn,-2379.8888155468353,False
590,2.849165042217829,18491.65042217829,30899.082831066306,burn,-2198.4838050970993,False
591,2.780331143355015,17803.31143355015,29803.022694860454,burn,-2095.060136205851,False
592,2.9991413642152067,19991.413642152067,28716.06700563803,burn,-2085.9556892224236,False
593,3.032799500881034,20327.99500881034,27695.523588592856,burn,-2019.5434170451747,False
594,3.19158146135781,21915.8146135781,26702.77744856963,burn,-1991.746140023223,False
595,3.3637163488928756,23637.163488928756,25735.46065998083,burn,-1966.3167885888022,False
596,3.3572397704713572,23572.397704713574,24841.04111319071,burn,-1893.41954679012,False
597,3.4667399860012513,24667.399860012512,23985.225163453088,burn,-1854.8159497376212,False
598,3.1934928997894483,21934.928997894483,23258.849694321576,burn,-1725.37546913151,False
599,3.429258955944562,24292.58955944562,22529.889520356504,burn,-1727.96017396507,False
600,3.665893487756152,26658.934877561518,21801.77218681684,burn,-1727.117333539665,False
601,3.7564465898885944,27564.465898885945,21109.729371497207,burn,-1691.042815319635,False
602,3.8054069438237264,28054.069438237264,20461.029089311967,burn,-1647.7002821852398,False
603,3.800544761864036,28005.44761864036,19863.957356462164,burn,-1596.0717328498015,False
604,4.023395218425642,30233.952184256417,19269.19355173367,burn,-1593.763804728494,False
605,4.178637663550031,31786.37663550031,18692.23603044923,burn,-1575.957521284444,False
606,3.583486289510414,25834.86289510414,18273.712873877186,burn,-1417.523156572043,False
607,3.5185461822966455,25185.461822966456,17898.795332234444,burn,-1373.9175416427438,False
608,3.32156567063818,23215.656706381804,17587.32327773178,burn,-1310.4720545026662,False
609,3.106547193429893,21065.47193429893,17336.471848938687,burn,-1249.85142879309,False
610,3.2868553533493423,22868.553533493425,17072.188221932396,burn,-1263.2836270062903,False
